               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034605,             0.01654,            0.014389,             0.78913,              0.1875,             0.25014,             0.10322,            0.052676,            0.010416,            0.089197,           0.0071125,           0.0071125,           0.0071125
                  37,            0.036577,            0.016192,            0.013126,             0.54382,              0.1875,             0.22614,            0.089582,            0.052506,            0.011283,            0.091919,             0.00703,             0.00703,             0.00703
                  38,            0.033779,            0.016079,             0.01235,             0.40656,             0.43075,             0.19577,            0.089973,            0.052312,            0.011499,             0.10258,           0.0069475,           0.0069475,           0.0069475
                  39,            0.029823,            0.014532,           0.0093732,             0.30582,              0.4375,              0.3624,             0.16196,            0.049897,           0.0095475,            0.099438,            0.006865,            0.006865,            0.006865
                  40,            0.030829,            0.015241,            0.011872,             0.39454,             0.59264,             0.38685,             0.11991,            0.050974,            0.010677,            0.053986,           0.0067825,           0.0067825,           0.0067825
                  41,             0.03365,             0.01672,           0.0089133,             0.31683,             0.53932,             0.33947,             0.15575,            0.066647,           0.0089715,            0.067432,              0.0067,              0.0067,              0.0067
                  42,            0.032926,             0.01524,            0.013928,              0.5236,             0.45606,             0.45741,             0.12216,            0.059168,            0.010448,            0.031604,           0.0066175,           0.0066175,           0.0066175
                  43,            0.033364,            0.014355,            0.013604,             0.47741,             0.22917,             0.22471,             0.10617,            0.052044,           0.0093038,             0.10471,            0.006535,            0.006535,            0.006535
                  44,             0.03393,            0.015671,            0.012147,              0.3717,             0.22917,             0.35364,             0.19466,            0.052668,           0.0088077,             0.11227,           0.0064525,           0.0064525,           0.0064525
                  45,            0.031828,            0.014327,             0.01215,             0.38483,             0.41378,             0.36363,             0.22145,            0.050511,           0.0077848,             0.10402,             0.00637,             0.00637,             0.00637
                  46,            0.031206,            0.014421,            0.011309,             0.35301,              0.6875,             0.38992,             0.17281,            0.054099,           0.0078588,              0.0995,           0.0062875,           0.0062875,           0.0062875
                  47,            0.033022,            0.013951,            0.010391,             0.39595,             0.28394,             0.38016,             0.19519,            0.050964,           0.0095401,            0.067682,            0.006205,            0.006205,            0.006205
                  48,            0.032864,            0.014602,            0.010429,             0.29402,             0.27083,             0.25856,             0.13082,            0.047335,            0.010558,            0.069959,           0.0061225,           0.0061225,           0.0061225
                  49,            0.030393,            0.013565,           0.0095721,             0.54513,             0.54749,             0.48598,              0.1688,            0.053958,           0.0095642,            0.054468,             0.00604,             0.00604,             0.00604
                  50,             0.03266,            0.015083,            0.010857,             0.35062,             0.35417,             0.30437,             0.15341,            0.057617,           0.0099528,            0.071375,           0.0059575,           0.0059575,           0.0059575
                  51,            0.031007,            0.014928,           0.0080116,             0.12918,             0.14583,             0.18932,             0.10771,            0.053088,            0.010792,            0.097412,            0.005875,            0.005875,            0.005875
                  52,            0.031446,             0.01532,           0.0070851,             0.21056,             0.38758,             0.23888,            0.057279,            0.055071,            0.010861,              0.1132,           0.0057925,           0.0057925,           0.0057925
                  53,            0.028248,             0.01277,           0.0065647,             0.30236,             0.35417,             0.28008,             0.12574,            0.056091,           0.0093615,             0.11385,             0.00571,             0.00571,             0.00571
                  54,             0.02772,            0.014174,           0.0080681,             0.17899,              0.3024,             0.22593,              0.1131,            0.051732,           0.0093858,            0.094519,           0.0056275,           0.0056275,           0.0056275
                  55,            0.028071,            0.014368,           0.0084749,             0.21056,             0.35767,             0.28466,             0.14973,            0.051815,           0.0087278,            0.094312,            0.005545,            0.005545,            0.005545
                  56,            0.027241,            0.013004,            0.009383,             0.41192,             0.55815,             0.51362,             0.21383,            0.053116,           0.0092239,            0.096246,           0.0054625,           0.0054625,           0.0054625
                  57,            0.029015,            0.013582,           0.0067125,             0.32778,             0.70163,             0.50986,             0.24754,            0.050672,           0.0095894,             0.09668,             0.00538,             0.00538,             0.00538
                  58,            0.027853,            0.013524,           0.0077489,             0.87062,              0.3125,             0.50083,             0.24097,            0.055327,           0.0091009,             0.10053,           0.0052975,           0.0052975,           0.0052975
                  59,            0.026802,            0.013616,           0.0058877,             0.27208,             0.60417,             0.56546,             0.28374,            0.055086,           0.0099599,             0.10662,            0.005215,            0.005215,            0.005215
                  60,             0.02895,            0.012656,           0.0057561,             0.44843,             0.61321,             0.48358,             0.17718,            0.054812,            0.010738,             0.11144,           0.0051325,           0.0051325,           0.0051325
                  61,            0.026917,             0.01299,            0.007945,             0.41648,             0.57552,             0.45066,             0.16916,            0.053771,            0.010859,             0.10681,             0.00505,             0.00505,             0.00505
                  62,            0.026871,            0.012434,           0.0067776,             0.28466,              0.5808,             0.39071,             0.15283,            0.047844,           0.0099106,              0.1095,           0.0049675,           0.0049675,           0.0049675
                  63,            0.024917,              0.0133,            0.006943,             0.38813,             0.35417,             0.34389,             0.18245,            0.052031,           0.0086813,             0.10942,            0.004885,            0.004885,            0.004885
                  64,            0.023734,             0.01176,            0.005592,             0.33769,             0.35417,             0.34846,             0.16246,            0.054176,           0.0090952,             0.10529,           0.0048025,           0.0048025,           0.0048025
                  65,            0.024742,            0.011503,           0.0063193,             0.26011,             0.40933,             0.30925,             0.16479,            0.052342,            0.010163,            0.097668,             0.00472,             0.00472,             0.00472
                  66,            0.024042,            0.012518,           0.0054088,             0.34687,             0.44783,             0.34917,             0.17292,            0.050705,            0.011473,            0.097705,           0.0046375,           0.0046375,           0.0046375
                  67,            0.027139,            0.012153,           0.0070367,             0.37349,             0.47917,             0.41535,             0.23447,            0.047029,            0.011317,               0.101,            0.004555,            0.004555,            0.004555
                  68,            0.025249,            0.011854,           0.0069836,             0.48746,             0.44074,             0.48832,             0.24087,            0.047213,            0.011107,             0.10579,           0.0044725,           0.0044725,           0.0044725
                  69,            0.023632,             0.01192,           0.0047855,             0.36229,             0.54367,             0.45202,             0.21155,            0.048152,           0.0094075,             0.11941,             0.00439,             0.00439,             0.00439
                  70,            0.023695,            0.011911,           0.0061623,             0.32598,             0.31516,             0.35837,             0.16316,            0.047484,           0.0090353,            0.099377,           0.0043075,           0.0043075,           0.0043075
                  71,            0.022636,            0.011387,           0.0057707,             0.74418,             0.35147,             0.38447,             0.14647,            0.051838,           0.0085597,            0.066827,            0.004225,            0.004225,            0.004225
                  72,            0.024346,            0.011455,           0.0081609,             0.56992,             0.43685,             0.38949,             0.13866,            0.048575,           0.0096419,            0.052759,           0.0041425,           0.0041425,           0.0041425
                  73,            0.024175,            0.011027,           0.0041459,             0.62677,             0.24645,             0.31082,              0.1308,            0.051326,           0.0096149,             0.07179,             0.00406,             0.00406,             0.00406
                  74,            0.024986,            0.012286,           0.0083664,             0.29386,              0.4375,             0.34911,             0.11856,            0.048832,            0.010111,            0.085736,           0.0039775,           0.0039775,           0.0039775
                  75,            0.022153,            0.011232,           0.0048237,             0.26357,             0.26862,             0.25877,             0.11296,            0.050818,           0.0096529,            0.090491,            0.003895,            0.003895,            0.003895
                  76,            0.022433,            0.011516,           0.0044882,             0.29522,             0.32778,             0.22002,            0.081364,            0.048387,            0.010166,            0.093164,           0.0038125,           0.0038125,           0.0038125
                  77,            0.022341,            0.012248,           0.0044983,             0.25264,             0.35417,             0.30911,              0.1427,            0.052478,            0.010424,            0.093188,             0.00373,             0.00373,             0.00373
                  78,            0.023409,            0.010407,           0.0041143,             0.31295,             0.52243,             0.33226,             0.12852,            0.055533,            0.010583,             0.09679,           0.0036475,           0.0036475,           0.0036475
                  79,            0.021688,             0.01079,           0.0051133,             0.20461,             0.26354,             0.20024,             0.10023,            0.056181,            0.011911,             0.10201,            0.003565,            0.003565,            0.003565
                  80,            0.024966,            0.011354,            0.005854,             0.20647,             0.41311,             0.22888,             0.11158,              0.0548,            0.011823,             0.10231,           0.0034825,           0.0034825,           0.0034825
                  81,            0.022285,            0.010418,           0.0045698,             0.28054,             0.51689,             0.28713,             0.12755,            0.054744,            0.011323,             0.10598,              0.0034,              0.0034,              0.0034
                  82,            0.022288,            0.010318,           0.0056542,              0.3446,             0.51543,             0.31973,             0.14461,            0.055379,            0.012006,              0.1019,           0.0033175,           0.0033175,           0.0033175
                  83,            0.023693,            0.010777,           0.0073247,             0.30181,              0.3508,             0.28377,             0.14225,            0.053277,            0.010152,             0.10023,            0.003235,            0.003235,            0.003235
                  84,             0.02321,            0.010524,           0.0040098,             0.25606,             0.22917,             0.24462,             0.13267,            0.054517,            0.010067,              0.1049,           0.0031525,           0.0031525,           0.0031525
                  85,            0.019667,            0.012062,           0.0040232,             0.29559,              0.3101,             0.32817,             0.17075,            0.053906,            0.009851,            0.097998,             0.00307,             0.00307,             0.00307
                  86,            0.020296,            0.010851,           0.0069195,             0.55697,             0.47917,             0.36205,             0.18918,            0.057323,            0.011264,            0.097357,           0.0029875,           0.0029875,           0.0029875
                  87,            0.020046,            0.010046,           0.0050989,             0.51297,             0.22917,             0.34418,             0.17356,            0.052875,            0.010623,            0.073004,            0.002905,            0.002905,            0.002905
                  88,            0.019938,            0.010548,           0.0065738,             0.76736,             0.22917,              0.2569,             0.13089,            0.052212,            0.011477,            0.069263,           0.0028225,           0.0028225,           0.0028225
                  89,            0.020485,            0.010884,           0.0040443,             0.51139,             0.35417,             0.24334,             0.12171,            0.052768,            0.012941,            0.069458,             0.00274,             0.00274,             0.00274
                  90,            0.018642,           0.0098105,           0.0040705,             0.46203,             0.37666,             0.20382,            0.088212,            0.051728,            0.014179,            0.048682,           0.0026575,           0.0026575,           0.0026575
                  91,             0.02371,            0.010127,           0.0039337,             0.24285,             0.38856,             0.22218,             0.12134,            0.051953,            0.012788,            0.050854,            0.002575,            0.002575,            0.002575
                  92,             0.01983,            0.010752,           0.0047755,             0.17927,             0.27083,             0.17631,            0.086886,            0.051456,            0.010914,            0.055914,           0.0024925,           0.0024925,           0.0024925
                  93,            0.020333,            0.010618,           0.0037579,             0.32035,             0.27083,             0.24497,              0.1416,            0.051895,            0.010383,            0.091431,             0.00241,             0.00241,             0.00241
                  94,            0.018369,            0.010074,           0.0036392,             0.42391,             0.52083,             0.35227,             0.17463,            0.054231,           0.0093663,              0.1079,           0.0023275,           0.0023275,           0.0023275
                  95,            0.018495,            0.010162,           0.0035839,              0.3396,             0.52083,             0.34565,             0.16835,            0.054212,           0.0093989,             0.11515,            0.002245,            0.002245,            0.002245
                  96,            0.017048,           0.0091151,           0.0027036,             0.32723,             0.52083,              0.4357,             0.22672,            0.052171,           0.0096467,             0.11494,           0.0021625,           0.0021625,           0.0021625
